order_id,ord_id,customer_id,cust_id,order_date,order_datetime,product_id,item_id,quantity,qty,unit_price,price,total_amount,order_total,shipping_cost,tax,discount,status,order_status,payment_method,shipping_address,notes,tracking_number
ORD_00001,1,13,CUST_0013,2023-12-19,,PROD_060,46,8,3,67.33,390.48,601.91,743.78,21.67,51.65,0.00,returned,pending,bank_transfer,1335 Main St,,
ORD_00002,2,405,CUST_0405,2023-07-04,2023-07-04T14:22:00.000Z,PROD_093,143,8,1,321.47,87.57,671.45,554.68,10.94,24.31,0.00,returned,SHIPPED,paypal,4432 Oak Ave,,TRK116441
ORD_00003,3,322,CUST_0322,2/11/2023,2023-09-22T18:17:00.000Z,PROD_110,146,9,2,379.54,97.80,500.94,264.43,0.00,35.50,0.00,processing,delivered,credit_card,9689 Pine Rd,,
ORD_00004,4,379,CUST_0379,2023-05-11,2023-10-20T02:42:00.000Z,PROD_180,91,8,4,27.05,24.06,812.73,804.85,17.63,16.65,3.14,SHIPPED,processing,debit_card,5432 Pine Rd,,TRK674193
ORD_00005,5,45,CUST_0045,2023-12-15,,PROD_179,59,5,4,489.21,17.76,964.00,732.92,13.04,8.46,35.42,CANCELLED,processing,paypal,2097 Main St,Special delivery instructions,
ORD_00006,6,161,CUST_0161,2023-03-01,2023-04-01T08:06:00.000Z,PROD_143,23,9,5,216.63,48.95,207.93,457.11,16.59,32.12,0.00,,delivered,debit_card,7078 Pine Rd,,
ORD_00007,7,185,CUST_0185,9/12/2023,,PROD_171,194,1,5,374.11,100.18,915.87,427.85,23.48,14.82,0.00,pending,,cash,4160 Main St,,
ORD_00008,8,106,CUST_0106,7/27/2023,2023-01-09T08:26:00.000Z,PROD_033,70,1,4,81.93,373.39,951.23,819.61,19.38,2.35,0.00,returned,,debit_card,5223 Pine Rd,,TRK164735
ORD_00009,9,86,CUST_0086,2023-08-06,2023-01-24T11:28:00.000Z,PROD_120,135,6,4,50.08,267.16,179.30,772.40,0.00,32.93,32.18,returned,CANCELLED,bank_transfer,5050 Pine Rd,,TRK455972
ORD_00010,10,482,CUST_0482,10/5/2023,2023-12-12T22:15:00.000Z,PROD_034,73,8,2,50.67,118.38,171.29,591.43,22.55,12.83,21.17,delivered,delivered,bank_transfer,3260 Pine Rd,,TRK435407
ORD_00011,11,356,CUST_0356,2023-01-07,2023-02-16T00:25:00.000Z,PROD_022,192,5,1,362.02,209.41,859.04,496.33,17.36,19.80,0.00,CANCELLED,SHIPPED,paypal,4929 Oak Ave,,TRK515513
ORD_00012,12,256,CUST_0256,2023-08-02,2023-12-17T18:06:00.000Z,PROD_186,86,7,1,289.84,206.26,747.36,761.09,22.25,37.38,39.51,pending,,debit_card,2080 Oak Ave,Special delivery instructions,TRK409878
ORD_00013,13,284,CUST_0284,9/25/2023,2023-07-24T20:51:00.000Z,PROD_025,93,3,5,167.84,108.69,179.76,101.88,23.01,25.08,32.97,processing,delivered,bank_transfer,774 Oak Ave,,TRK957788
ORD_00014,14,190,CUST_0190,2023-12-14,,PROD_032,196,5,2,400.91,364.30,559.24,66.04,0.00,12.22,49.88,delivered,,bank_transfer,3698 Pine Rd,,TRK291010
ORD_00015,15,27,CUST_0027,4/9/2023,2023-03-12T01:50:00.000Z,PROD_143,80,7,4,40.02,27.65,638.17,382.60,18.07,11.88,1.94,pending,processing,cash,3341 Main St,Special delivery instructions,
ORD_00016,16,319,CUST_0319,5/23/2023,,PROD_160,150,2,4,221.94,120.62,180.32,210.82,0.00,45.36,0.00,SHIPPED,pending,cash,5378 Main St,,TRK747407
ORD_00017,17,401,CUST_0401,10/24/2023,2023-06-03T21:46:00.000Z,PROD_062,1,2,4,415.63,193.09,795.59,756.33,18.42,43.51,0.00,returned,delivered,cash,1341 Oak Ave,,
ORD_00018,18,15,CUST_0015,2023-03-14,,PROD_188,180,1,5,365.05,281.18,694.45,379.34,0.00,17.54,0.00,CANCELLED,delivered,credit_card,507 Pine Rd,,
ORD_00019,19,339,CUST_0339,2023-05-24,2023-11-01T19:17:00.000Z,PROD_082,61,10,3,205.88,61.93,484.29,700.46,0.00,7.42,0.00,CANCELLED,pending,cash,7055 Pine Rd,Special delivery instructions,
ORD_00020,20,460,CUST_0460,12/19/2023,2023-12-03T03:50:00.000Z,PROD_025,36,1,5,107.80,49.69,292.80,283.50,0.00,43.15,0.00,CANCELLED,SHIPPED,paypal,8421 Oak Ave,,TRK702442
ORD_00021,21,420,CUST_0420,4/8/2023,2023-04-08T20:17:00.000Z,PROD_184,191,10,1,117.18,355.37,404.57,300.34,23.86,7.08,0.00,pending,SHIPPED,paypal,4973 Main St,,
ORD_00022,22,456,CUST_0456,2/12/2023,2023-09-03T09:36:00.000Z,PROD_001,73,2,1,276.66,229.44,689.96,646.09,11.48,23.69,28.43,,SHIPPED,bank_transfer,8220 Pine Rd,Special delivery instructions,
ORD_00023,23,190,CUST_0190,2023-11-08,2023-09-05T11:08:00.000Z,PROD_132,83,6,1,277.42,271.22,572.75,397.83,22.58,25.42,0.00,processing,processing,paypal,5906 Main St,,TRK945322
ORD_00024,24,52,CUST_0052,,2023-02-20T09:56:00.000Z,PROD_071,57,6,4,71.04,190.67,319.29,778.10,8.72,51.40,0.00,CANCELLED,pending,paypal,7564 Oak Ave,,TRK364344
ORD_00025,25,134,CUST_0134,2023-12-12,2023-12-26T14:17:00.000Z,PROD_113,12,9,5,228.11,349.48,704.14,389.67,23.86,25.55,0.00,,SHIPPED,credit_card,1907 Pine Rd,,
ORD_00026,26,10,CUST_0010,11/28/2023,2023-07-12T22:37:00.000Z,PROD_135,17,10,1,380.75,219.59,104.54,131.86,0.00,22.97,0.00,returned,,bank_transfer,6789 Pine Rd,,TRK522512
ORD_00027,27,120,CUST_0120,4/19/2023,2023-06-12T19:50:00.000Z,PROD_087,19,3,5,334.94,190.69,876.37,366.39,0.00,40.83,0.00,,delivered,debit_card,4997 Main St,,TRK758837
ORD_00028,28,250,CUST_0250,3/22/2023,2023-12-13T08:34:00.000Z,PROD_162,30,4,3,289.81,280.98,890.85,440.24,18.59,20.72,41.36,pending,processing,cash,9947 Oak Ave,,TRK697789
ORD_00029,29,312,CUST_0312,2023-12-13,2023-05-22T18:08:00.000Z,PROD_193,157,8,4,104.86,46.15,981.52,783.86,16.17,35.28,27.27,returned,,paypal,4385 Oak Ave,,TRK992552
ORD_00030,30,46,CUST_0046,10/7/2023,,PROD_182,148,2,3,87.92,175.42,245.52,757.77,18.45,10.85,0.00,processing,processing,bank_transfer,1808 Pine Rd,,TRK809521
ORD_00031,31,483,CUST_0483,7/15/2023,2023-01-24T11:01:00.000Z,PROD_122,111,7,4,405.12,255.63,956.35,197.45,5.50,38.54,0.00,returned,processing,bank_transfer,726 Pine Rd,,TRK811716
ORD_00032,32,380,CUST_0380,2023-05-01,2023-06-14T06:44:00.000Z,PROD_025,25,3,3,22.66,395.32,80.88,489.08,21.64,10.68,0.00,returned,CANCELLED,bank_transfer,7208 Pine Rd,Special delivery instructions,
ORD_00033,33,381,CUST_0381,8/18/2023,2023-11-17T12:14:00.000Z,PROD_082,188,4,4,291.50,224.64,485.05,680.90,13.20,44.70,0.00,processing,delivered,paypal,6018 Pine Rd,,
ORD_00034,34,221,CUST_0221,2023-03-24,,PROD_038,192,8,3,11.10,182.70,874.05,767.53,13.84,49.17,34.58,,delivered,paypal,7229 Main St,,TRK170753
ORD_00035,35,373,CUST_0373,,2023-05-19T14:01:00.000Z,PROD_061,196,5,1,248.44,401.55,708.66,431.87,7.08,31.94,0.00,processing,processing,paypal,5660 Pine Rd,,TRK218059
ORD_00036,36,10,CUST_0010,11/17/2023,2023-03-26T20:11:00.000Z,PROD_179,139,9,2,79.89,126.45,665.65,121.15,0.00,12.46,0.00,CANCELLED,returned,bank_transfer,1780 Pine Rd,,TRK116892
ORD_00037,37,197,CUST_0197,8/22/2023,2023-04-11T06:36:00.000Z,PROD_179,162,10,1,431.06,130.80,426.29,733.94,14.80,8.00,26.54,SHIPPED,pending,bank_transfer,4658 Main St,,TRK392720
ORD_00038,38,45,CUST_0045,12/10/2023,2023-06-28T13:40:00.000Z,PROD_167,165,1,4,90.54,276.43,895.15,723.11,18.13,18.25,5.18,delivered,CANCELLED,credit_card,5475 Pine Rd,Special delivery instructions,TRK747407
