client_reference,full_customer_name,contact_email,transaction_ref,item_reference,transaction_date,amount_paid,payment_status,delivery_status,customer_segment,region,product_line,quantity_ordered,unit_cost,total_value,discount_applied,shipping_fee,tax_amount,notes_comments,last_modified_timestamp
CLI_0315,Bob Wilson,reconcile1@test.com,TXN_00887,ITM_074,2/2/2023,59.63,COMPLETED,IN_TRANSIT,VIP,WEST,HOME,3,150.04,671.73,5.87,20.12,20.53,,2023-09-05T18:30:00.000Z
CLI_0419,Bob Wilson,reconcile2@test.com,TXN_00698,ITM_052,7/28/2023,226.56,COMPLETED,PENDING,VIP,EAST,FASHION,2,89.20,703.10,44.02,19.34,28.31,,2023-07-04T18:30:00.000Z
CLI_0265,Bob Wilson,reconcile3@test.com,TXN_00577,ITM_023,8/21/2023,484.21,COMPLETED,DELIVERED,STANDARD,NORTH,BOOKS,5,195.42,230.51,56.53,15.64,39.82,Additional processing required,2023-01-24T18:30:00.000Z
CLI_0477,Bob Wilson,reconcile4@test.com,TXN_00209,ITM_055,12/5/2023,704.19,COMPLETED,IN_TRANSIT,PREMIUM,EAST,FASHION,7,254.89,334.33,87.70,27.84,58.96,Additional processing required,2023-04-02T18:30:00.000Z
CLI_0149,Alice Johnson,reconcile5@test.com,TXN_00375,ITM_180,1/13/2023,1010.95,PENDING,DELIVERED,STANDARD,EAST,ELECTRONICS,5,248.45,268.63,8.43,9.42,31.65,,2023-12-17T18:30:00.000Z
CLI_0268,John Smith,reconcile6@test.com,TXN_00683,ITM_163,4/8/2023,700.89,COMPLETED,DELIVERED,VIP,NORTH,FASHION,7,215.14,302.11,99.08,20.85,60.24,Additional processing required,2023-06-23T18:30:00.000Z
CLI_0091,John Smith,reconcile7@test.com,TXN_00811,ITM_150,3/9/2023,339.90,PENDING,DELIVERED,VIP,EAST,ELECTRONICS,8,276.95,641.88,11.04,25.30,59.05,,2023-07-16T18:30:00.000Z
CLI_0220,Alice Johnson,reconcile8@test.com,TXN_00564,ITM_136,4/18/2023,708.48,FAILED,PENDING,PREMIUM,NORTH,FASHION,2,263.87,624.85,95.18,14.58,18.72,,2023-11-24T18:30:00.000Z
CLI_0408,Alice Johnson,reconcile9@test.com,TXN_00777,ITM_140,7/16/2023,925.07,FAILED,DELIVERED,PREMIUM,SOUTH,HOME,1,100.76,677.66,27.46,8.20,44.45,,2023-07-14T18:30:00.000Z
CLI_0441,Jane Doe,reconcile10@test.com,TXN_00788,ITM_029,6/12/2023,822.90,COMPLETED,IN_TRANSIT,PREMIUM,WEST,FASHION,5,178.43,380.28,5.32,11.73,52.55,,2023-01-01T18:30:00.000Z
CLI_0032,Jane Doe,reconcile11@test.com,TXN_00340,ITM_142,6/13/2023,143.92,COMPLETED,DELIVERED,VIP,WEST,ELECTRONICS,5,54.07,898.02,50.36,17.64,18.41,,2023-06-18T18:30:00.000Z
CLI_0031,Bob Wilson,reconcile12@test.com,TXN_00960,ITM_112,10/24/2023,1030.87,PENDING,IN_TRANSIT,STANDARD,WEST,HOME,8,239.81,833.85,57.25,6.64,16.01,,2023-06-11T18:30:00.000Z
CLI_0450,Alice Johnson,reconcile13@test.com,TXN_00297,ITM_170,4/20/2023,865.19,FAILED,PENDING,STANDARD,EAST,BOOKS,8,180.47,457.05,66.86,21.72,26.13,,2023-10-19T18:30:00.000Z
CLI_0137,John Smith,reconcile14@test.com,TXN_00369,ITM_173,12/15/2023,616.42,FAILED,PENDING,PREMIUM,EAST,FASHION,4,66.47,815.78,81.10,18.46,39.45,Additional processing required,2023-08-26T18:30:00.000Z
CLI_0183,Alice Johnson,reconcile15@test.com,TXN_00047,ITM_133,2/18/2023,484.14,COMPLETED,PENDING,VIP,NORTH,FASHION,8,184.82,112.77,39.08,29.01,38.00,,2023-12-12T18:30:00.000Z
CLI_0442,Jane Doe,reconcile16@test.com,TXN_00459,ITM_096,10/28/2023,719.51,PENDING,DELIVERED,VIP,EAST,FASHION,6,174.09,363.55,46.87,24.65,21.11,Additional processing required,2023-04-08T18:30:00.000Z
CLI_0129,Alice Johnson,reconcile17@test.com,TXN_00451,ITM_080,11/12/2023,763.64,PENDING,PENDING,VIP,SOUTH,BOOKS,9,24.56,832.99,65.06,18.53,8.26,Additional processing required,2023-06-20T18:30:00.000Z
CLI_0386,Bob Wilson,reconcile18@test.com,TXN_00226,ITM_166,10/21/2023,1034.77,PENDING,PENDING,VIP,WEST,FASHION,7,153.49,688.48,3.22,10.59,48.55,,2023-08-12T18:30:00.000Z
CLI_0210,Bob Wilson,reconcile19@test.com,TXN_00002,ITM_113,2/2/2023,196.65,PENDING,DELIVERED,PREMIUM,EAST,ELECTRONICS,7,195.93,853.14,4.63,20.67,37.76,,2023-04-30T18:30:00.000Z
